Station.ID,Capacity,Station.Name,Location
411,33,"Walworth Road, Elephant & Castle","(51.493372,-0.09968)"
412,17,"Cleaver Street, Kennington","(51.488105,-0.110121)"
419,15,"Chelsea Bridge, Pimlico","(51.485821,-0.149004)"
420,37,"Southwark Station 1, Southwark","(51.504043,-0.105312)"
421,45,"Southwark Station 2, Southwark","(51.504044,-0.104778)"
423,31,"Eaton Square (South), Belgravia","(51.494561,-0.153933)"
424,29,"Ebury Bridge, Pimlico","(51.490491,-0.149186)"
425,38,"Harrington Square 2, Camden Town","(51.533379,-0.139159)"
426,17,"Vincent Street, Pimlico","(51.493072,-0.129925)"
427,43,"Cheapside, Bank","(51.51397,-0.09294)"
428,20,"Exhibition Road, Knightsbridge","(51.499917,-0.174554)"
430,18,"South Parade, Chelsea","(51.48902,-0.17524)"
431,20,"Crinan Street, King's Cross","(51.534474,-0.122203)"
432,22,"Exhibition Road Museums, South Kensington","(51.496957,-0.173894)"
433,33,"Wren Street, Holborn","(51.524564,-0.116279)"
435,23,"Kennington Station, Kennington","(51.488852,-0.105593)"
436,36,"Red Lion Street, Holborn","(51.51824,-0.11655)"
437,27,"Vauxhall Walk, Vauxhall","(51.488124,-0.120903)"
439,22,"Killick Street, King's Cross","(51.5338,-0.118677)"
440,33,"Kennington Oval, Oval","(51.483145,-0.113134)"
441,24,"Sail Street, Vauxhall","(51.495656,-0.114605)"
442,24,"Walmer Road, Avondale","(51.510101,-0.211358)"
443,30,"Philpot Street, Whitechapel","(51.515256,-0.058641)"
444,24,"Bethnal Green Garden, Bethnal Green","(51.52568,-0.055312)"
445,28,"Cheshire Street, Bethnal Green","(51.52388,-0.065076)"
446,27,"York Hall, Bethnal Green","(51.528936,-0.055894)"
447,54,"Jubilee Crescent, Cubitt Town","(51.493381,-0.007542)"
448,36,"Fisherman's Walk West, Canary Wharf","(51.50623,-0.02296)"
449,35,"Shadwell Station, Shadwell","(51.511088,-0.057159)"
450,28,"Jubilee Street, Stepney","(51.515975,-0.053177)"
451,16,"Hermitage Court, Wapping","(51.504719,-0.063531)"
452,24,"St. Katharine's Way, Tower","(51.505697,-0.070542)"
453,24,"Garnet Street, Shadwell","(51.508447,-0.055167)"
454,20,"Napier Avenue, Millwall","(51.487679,-0.021582)"
455,17,"East Ferry Road, Cubitt Town","(51.49447,-0.014409)"
456,33,"Parkway, Camden Town","(51.538071,-0.144664)"
457,29,"Castlehaven Road, Camden Town","(51.542138,-0.145393)"
458,28,"Wapping Lane, Wapping","(51.504749,-0.057544)"
459,17,"Gunmakers Lane, Old Ford","(51.535179,-0.03338)"
460,33,"Burdett Road, Mile End","(51.516196,-0.029138)"
462,45,"Bonny Street, Camden Town","(51.541603,-0.138853)"
463,22,"Thurtle Road, Haggerston","(51.534776,-0.071881)"
